runtime,iteration,start_ms,ready_ms,finished_ms,end_ms,startup_ms,workload_ms,total_ms
docker,1,1757611954021,1757611956985,1757611966462,1757611968149,2964,9477,14128
podman,1,1757611968175,1757611968948,1757611978559,1757611979727,773,9611,11552
crio,1,1757611988839,1757566041090,,1757611999384,0,0,10545
docker,2,1757612000532,1757612003189,1757612011857,1757612013504,2657,8668,12972
podman,2,1757612013527,1757612014327,1757612025189,1757612026511,800,10862,12984
crio,2,1757612030284,1757566041090,,1757612040972,0,0,10688
docker,3,1757612041604,1757612044484,1757612052687,1757612054587,2880,8203,12983
podman,3,1757612054600,1757612055566,1757612063430,1757612064953,966,7864,10353
crio,3,1757612069614,1757566041090,,1757612079275,0,0,9661
docker,4,1757612080151,1757612083965,1757612092877,1757612094305,3814,8912,14154
podman,4,1757612094323,1757612095247,1757612103595,1757612104552,924,8348,10229
crio,4,1757612111566,1757566041090,,1757612121210,0,0,9644
docker,5,1757612121831,1757612124652,1757612133046,1757612135037,2821,8394,13206
podman,5,1757612135050,1757612136052,1757612145939,1757612146896,1002,9887,11846
crio,5,1757612153960,1757566041090,,1757612164640,0,0,10680
